"Sample Handler Bronze","Sample Handler Bronze","Accept and process customer sample work. Bronze target: 1.",en-US
"Sample Handler Silver","Sample Handler Silver","Accept and process customer sample work. Silver target: 5.",en-US
"Sample Handler Gold","Sample Handler Gold","Accept and process customer sample work. Gold target: 15.",en-US
"Sample Handler Certified","Sample Handler Certified","Accept and process customer sample work. Certified target: 40.",en-US
"Extraction Specialist Bronze","Extraction Specialist Bronze","Complete extraction station work. Bronze target: 2.",en-US
"Extraction Specialist Silver","Extraction Specialist Silver","Complete extraction station work. Silver target: 10.",en-US
"Extraction Specialist Gold","Extraction Specialist Gold","Complete extraction station work. Gold target: 35.",en-US
"Extraction Specialist Certified","Extraction Specialist Certified","Complete extraction station work. Certified target: 100.",en-US
"Drying Specialist Bronze","Drying Specialist Bronze","Complete drying oven work. Bronze target: 2.",en-US
"Drying Specialist Silver","Drying Specialist Silver","Complete drying oven work. Silver target: 10.",en-US
"Drying Specialist Gold","Drying Specialist Gold","Complete drying oven work. Gold target: 35.",en-US
"Drying Specialist Certified","Drying Specialist Certified","Complete drying oven work. Certified target: 100.",en-US
"Microscope Operator Bronze","Microscope Operator Bronze","Complete microscope analysis work. Bronze target: 2.",en-US
"Microscope Operator Silver","Microscope Operator Silver","Complete microscope analysis work. Silver target: 10.",en-US
"Microscope Operator Gold","Microscope Operator Gold","Complete microscope analysis work. Gold target: 35.",en-US
"Microscope Operator Certified","Microscope Operator Certified","Complete microscope analysis work. Certified target: 100.",en-US
"Particle Hunter Bronze","Particle Hunter Bronze","Find and classify particles. Bronze target: 2.",en-US
"Particle Hunter Silver","Particle Hunter Silver","Find and classify particles. Silver target: 20.",en-US
"Particle Hunter Gold","Particle Hunter Gold","Find and classify particles. Gold target: 75.",en-US
"Particle Hunter Certified","Particle Hunter Certified","Find and classify particles. Certified target: 200.",en-US
"Metallic Expert Bronze","Metallic Expert Bronze","Correctly classify metallic particles. Bronze target: 1.",en-US
"Metallic Expert Silver","Metallic Expert Silver","Correctly classify metallic particles. Silver target: 8.",en-US
"Metallic Expert Gold","Metallic Expert Gold","Correctly classify metallic particles. Gold target: 30.",en-US
"Metallic Expert Certified","Metallic Expert Certified","Correctly classify metallic particles. Certified target: 90.",en-US
"Fiber Expert Bronze","Fiber Expert Bronze","Correctly classify fiber particles. Bronze target: 1.",en-US
"Fiber Expert Silver","Fiber Expert Silver","Correctly classify fiber particles. Silver target: 8.",en-US
"Fiber Expert Gold","Fiber Expert Gold","Correctly classify fiber particles. Gold target: 30.",en-US
"Fiber Expert Certified","Fiber Expert Certified","Correctly classify fiber particles. Certified target: 90.",en-US
"Non-Metallic Expert Bronze","Non-Metallic Expert Bronze","Correctly classify non-metallic particles. Bronze target: 1.",en-US
"Non-Metallic Expert Silver","Non-Metallic Expert Silver","Correctly classify non-metallic particles. Silver target: 8.",en-US
